MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 1 (9.13.0.2080170) 64-bit (glnxa64)
                             September 28, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
res_norm = 0.000068 after 3500 iterations
res_norm = 0.000063 after 3600 iterations
res_norm = 0.000059 after 3700 iterations
Problem solved in 3709 iterations
res_norm = 0.011547 after 100 iterations
res_norm = 0.006505 after 200 iterations
res_norm = 0.004391 after 300 iterations
res_norm = 0.003218 after 400 iterations
res_norm = 0.002475 after 500 iterations
res_norm = 0.001964 after 600 iterations
res_norm = 0.001595 after 700 iterations
res_norm = 0.001318 after 800 iterations
res_norm = 0.001104 after 900 iterations
res_norm = 0.000936 after 1000 iterations
res_norm = 0.000801 after 1100 iterations
res_norm = 0.000691 after 1200 iterations
res_norm = 0.000601 after 1300 iterations
res_norm = 0.000526 after 1400 iterations
res_norm = 0.000464 after 1500 iterations
res_norm = 0.000410 after 1600 iterations
res_norm = 0.000365 after 1700 iterations
res_norm = 0.000327 after 1800 iterations
res_norm = 0.000293 after 1900 iterations
res_norm = 0.000264 after 2000 iterations
res_norm = 0.000239 after 2100 iterations
res_norm = 0.000217 after 2200 iterations
res_norm = 0.000197 after 2300 iterations
res_norm = 0.000180 after 2400 iterations
res_norm = 0.000164 after 2500 iterations
res_norm = 0.000151 after 2600 iterations
res_norm = 0.000138 after 2700 iterations
res_norm = 0.000127 after 2800 iterations
res_norm = 0.000117 after 2900 iterations
res_norm = 0.000108 after 3000 iterations
res_norm = 0.000100 after 3100 iterations
res_norm = 0.000093 after 3200 iterations
res_norm = 0.000086 after 3300 iterations
res_norm = 0.000080 after 3400 iterations
res_norm = 0.000074 after 3500 iterations
res_norm = 0.000069 after 3600 iterations
res_norm = 0.000064 after 3700 iterations
res_norm = 0.000060 after 3800 iterations
Problem solved in 3831 iterations
res_norm = 0.011491 after 100 iterations
res_norm = 0.006421 after 200 iterations
res_norm = 0.004313 after 300 iterations
res_norm = 0.003156 after 400 iterations
res_norm = 0.002427 after 500 iterations
res_norm = 0.001928 after 600 iterations
res_norm = 0.001568 after 700 iterations
res_norm = 0.001298 after 800 iterations
res_norm = 0.001089 after 900 iterations
res_norm = 0.000924 after 1000 iterations
res_norm = 0.000792 after 1100 iterations
res_norm = 0.000684 after 1200 iterations
res_norm = 0.000595 after 1300 iterations
res_norm = 0.000522 after 1400 iterations
res_norm = 0.000460 after 1500 iterations
res_norm = 0.000407 after 1600 iterations
res_norm = 0.000363 after 1700 iterations
res_norm = 0.000324 after 1800 iterations
res_norm = 0.000291 after 1900 iterations
res_norm = 0.000262 after 2000 iterations
res_norm = 0.000237 after 2100 iterations
res_norm = 0.000215 after 2200 iterations
res_norm = 0.000195 after 2300 iterations
res_norm = 0.000178 after 2400 iterations
res_norm = 0.000163 after 2500 iterations
res_norm = 0.000149 after 2600 iterations
res_norm = 0.000137 after 2700 iterations
res_norm = 0.000126 after 2800 iterations
res_norm = 0.000116 after 2900 iterations
res_norm = 0.000107 after 3000 iterations
res_norm = 0.000099 after 3100 iterations
res_norm = 0.000091 after 3200 iterations
res_norm = 0.000084 after 3300 iterations
res_norm = 0.000078 after 3400 iterations
res_norm = 0.000073 after 3500 iterations
res_norm = 0.000067 after 3600 iterations
